epoch ,time     ,train/box ,train/seg ,train/cls ,train/dfl ,tp_metrics/precision(B) ,tp_metrics/recall(B) ,tp_metrics/mAP50(B) ,tp_metrics/mAP50-95(B) ,tp_metrics/precision(M) ,tp_metrics/recall(M) ,tp_metrics/mAP50(M) ,tp_metrics/mAP50-95(M) ,tp_metrics/APr(B) ,tp_metrics/APc(B) ,tp_metrics/APf(B) ,tp_metrics/APr(M) ,tp_metrics/APc(M) ,tp_metrics/APf(M) ,val/box ,val/seg ,val/cls ,val/dfl ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 , 3894.97 ,  1.75322 ,  3.44818 ,  3.01579 ,  1.87466 ,                0.25462 ,             0.10474 ,            0.17227 ,               0.11864 ,                0.25526 ,             0.09912 ,            0.15934 ,               0.10255 ,          0.11483 ,          0.10306 ,          0.13315 ,          0.10638 ,          0.09006 ,          0.11295 ,1.49768 ,3.14642 ,8.32283 ,1.51856 ,0.000666605 ,0.000666605 ,0.000666605
    2 , 6050.58 ,  1.29265 ,  2.69603 ,  2.26812 ,  1.39141 ,                0.25462 ,             0.10474 ,            0.17227 ,               0.11864 ,                0.25526 ,             0.09912 ,            0.15934 ,               0.10255 ,          0.11483 ,          0.10306 ,          0.13315 ,          0.10638 ,          0.09006 ,          0.11295 ,1.49768 ,3.14642 ,8.32283 ,1.51856 ,0.00128927  ,0.00128927  ,0.00128927
    3 , 8181.86 ,  1.22011 ,  2.56902 ,  2.14069 ,  1.32798 ,                0.25462 ,             0.10474 ,            0.17227 ,               0.11864 ,                0.25526 ,             0.09912 ,            0.15934 ,               0.10255 ,          0.11483 ,          0.10306 ,          0.13315 ,          0.10638 ,          0.09006 ,          0.11295 ,1.49768 ,3.14642 ,8.32283 ,1.51856 ,0.00186794  ,0.00186794  ,0.00186794
    4 ,10341.6  ,  1.18399 ,  2.4921  ,  2.07015 ,  1.29723 ,                0.25462 ,             0.10474 ,            0.17227 ,               0.11864 ,                0.25526 ,             0.09912 ,            0.15934 ,               0.10255 ,          0.11483 ,          0.10306 ,          0.13315 ,          0.10638 ,          0.09006 ,          0.11295 ,1.49768 ,3.14642 ,8.32283 ,1.51856 ,0.001802    ,0.001802    ,0.001802
    5 ,12504.1  ,  1.15854 ,  2.43702 ,  2.01389 ,  1.27662 ,                0.25462 ,             0.10474 ,            0.17227 ,               0.11864 ,                0.25526 ,             0.09912 ,            0.15934 ,               0.10255 ,          0.11483 ,          0.10306 ,          0.13315 ,          0.10638 ,          0.09006 ,          0.11295 ,1.49768 ,3.14642 ,8.32283 ,1.51856 ,0.001736    ,0.001736    ,0.001736
    6 ,16384.7  ,  1.1444  ,  2.40156 ,  1.98028 ,  1.26539 ,                0.21726 ,             0.1797  ,            0.28187 ,               0.20274 ,                0.21961 ,             0.17034 ,            0.26316 ,               0.17469 ,          0.15066 ,          0.19704 ,          0.21716 ,          0.1453  ,          0.17277 ,          0.18168 ,1.28656 ,2.761   ,6.98505 ,1.30892 ,0.00167     ,0.00167     ,0.00167
    7 ,18519.3  ,  1.13239 ,  2.37609 ,  1.95997 ,  1.25697 ,                0.21726 ,             0.1797  ,            0.28187 ,               0.20274 ,                0.21961 ,             0.17034 ,            0.26316 ,               0.17469 ,          0.15066 ,          0.19704 ,          0.21716 ,          0.1453  ,          0.17277 ,          0.18168 ,1.28656 ,2.761   ,6.98505 ,1.30892 ,0.001604    ,0.001604    ,0.001604
    8 ,20672.2  ,  1.12587 ,  2.35434 ,  1.94006 ,  1.2516  ,                0.21726 ,             0.1797  ,            0.28187 ,               0.20274 ,                0.21961 ,             0.17034 ,            0.26316 ,               0.17469 ,          0.15066 ,          0.19704 ,          0.21716 ,          0.1453  ,          0.17277 ,          0.18168 ,1.28656 ,2.761   ,6.98505 ,1.30892 ,0.001538    ,0.001538    ,0.001538
    9 ,22855.2  ,  1.11825 ,  2.33788 ,  1.92827 ,  1.24659 ,                0.21726 ,             0.1797  ,            0.28187 ,               0.20274 ,                0.21961 ,             0.17034 ,            0.26316 ,               0.17469 ,          0.15066 ,          0.19704 ,          0.21716 ,          0.1453  ,          0.17277 ,          0.18168 ,1.28656 ,2.761   ,6.98505 ,1.30892 ,0.001472    ,0.001472    ,0.001472
   10 ,25010.6  ,  1.11202 ,  2.32461 ,  1.91628 ,  1.24212 ,                0.21726 ,             0.1797  ,            0.28187 ,               0.20274 ,                0.21961 ,             0.17034 ,            0.26316 ,               0.17469 ,          0.15066 ,          0.19704 ,          0.21716 ,          0.1453  ,          0.17277 ,          0.18168 ,1.28656 ,2.761   ,6.98505 ,1.30892 ,0.001406    ,0.001406    ,0.001406
   11 ,28926    ,  1.10665 ,  2.31323 ,  1.89997 ,  1.23656 ,                0.22985 ,             0.18935 ,            0.30907 ,               0.22484 ,                0.23062 ,             0.1792  ,            0.29032 ,               0.19432 ,          0.18127 ,          0.22123 ,          0.23588 ,          0.16418 ,          0.19595 ,          0.19829 ,1.25002 ,2.68132 ,7.39548 ,1.27044 ,0.00134     ,0.00134     ,0.00134
   12 ,31055.8  ,  1.09926 ,  2.29997 ,  1.88534 ,  1.23227 ,                0.22985 ,             0.18935 ,            0.30907 ,               0.22484 ,                0.23062 ,             0.1792  ,            0.29032 ,               0.19432 ,          0.18127 ,          0.22123 ,          0.23588 ,          0.16418 ,          0.19595 ,          0.19829 ,1.25002 ,2.68132 ,7.39548 ,1.27044 ,0.001274    ,0.001274    ,0.001274
   13 ,33222.7  ,  1.09338 ,  2.28374 ,  1.87419 ,  1.22909 ,                0.22985 ,             0.18935 ,            0.30907 ,               0.22484 ,                0.23062 ,             0.1792  ,            0.29032 ,               0.19432 ,          0.18127 ,          0.22123 ,          0.23588 ,          0.16418 ,          0.19595 ,          0.19829 ,1.25002 ,2.68132 ,7.39548 ,1.27044 ,0.001208    ,0.001208    ,0.001208
   14 ,35372.4  ,  1.08698 ,  2.2712  ,  1.86307 ,  1.22542 ,                0.22985 ,             0.18935 ,            0.30907 ,               0.22484 ,                0.23062 ,             0.1792  ,            0.29032 ,               0.19432 ,          0.18127 ,          0.22123 ,          0.23588 ,          0.16418 ,          0.19595 ,          0.19829 ,1.25002 ,2.68132 ,7.39548 ,1.27044 ,0.001142    ,0.001142    ,0.001142
   15 ,37521.2  ,  1.08295 ,  2.26242 ,  1.85326 ,  1.22173 ,                0.22985 ,             0.18935 ,            0.30907 ,               0.22484 ,                0.23062 ,             0.1792  ,            0.29032 ,               0.19432 ,          0.18127 ,          0.22123 ,          0.23588 ,          0.16418 ,          0.19595 ,          0.19829 ,1.25002 ,2.68132 ,7.39548 ,1.27044 ,0.001076    ,0.001076    ,0.001076
   16 ,41425.7  ,  1.07833 ,  2.25501 ,  1.84169 ,  1.21958 ,                0.22099 ,             0.20032 ,            0.32608 ,               0.23721 ,                0.22307 ,             0.18988 ,            0.3075  ,               0.2067  ,          0.17892 ,          0.23819 ,          0.24683 ,          0.16472 ,          0.21231 ,          0.20927 ,1.23241 ,2.64113 ,7.14392 ,1.25218 ,0.00101     ,0.00101     ,0.00101
   17 ,43585.2  ,  1.0741  ,  2.24494 ,  1.83373 ,  1.21673 ,                0.22099 ,             0.20032 ,            0.32608 ,               0.23721 ,                0.22307 ,             0.18988 ,            0.3075  ,               0.2067  ,          0.17892 ,          0.23819 ,          0.24683 ,          0.16472 ,          0.21231 ,          0.20927 ,1.23241 ,2.64113 ,7.14392 ,1.25218 ,0.000944    ,0.000944    ,0.000944
   18 ,45751.9  ,  1.06741 ,  2.23254 ,  1.82214 ,  1.21218 ,                0.22099 ,             0.20032 ,            0.32608 ,               0.23721 ,                0.22307 ,             0.18988 ,            0.3075  ,               0.2067  ,          0.17892 ,          0.23819 ,          0.24683 ,          0.16472 ,          0.21231 ,          0.20927 ,1.23241 ,2.64113 ,7.14392 ,1.25218 ,0.000878    ,0.000878    ,0.000878
   19 ,47910.3  ,  1.06339 ,  2.22061 ,  1.81129 ,  1.20947 ,                0.22099 ,             0.20032 ,            0.32608 ,               0.23721 ,                0.22307 ,             0.18988 ,            0.3075  ,               0.2067  ,          0.17892 ,          0.23819 ,          0.24683 ,          0.16472 ,          0.21231 ,          0.20927 ,1.23241 ,2.64113 ,7.14392 ,1.25218 ,0.000812    ,0.000812    ,0.000812
   20 ,50098    ,  1.05532 ,  2.20527 ,  1.7996  ,  1.20508 ,                0.22099 ,             0.20032 ,            0.32608 ,               0.23721 ,                0.22307 ,             0.18988 ,            0.3075  ,               0.2067  ,          0.17892 ,          0.23819 ,          0.24683 ,          0.16472 ,          0.21231 ,          0.20927 ,1.23241 ,2.64113 ,7.14392 ,1.25218 ,0.000746    ,0.000746    ,0.000746
   21 ,53971.9  ,  1.04826 ,  2.19004 ,  1.78906 ,  1.2019  ,                0.24269 ,             0.19621 ,            0.337   ,               0.24541 ,                0.24228 ,             0.19265 ,            0.31583 ,               0.21286 ,          0.18467 ,          0.24556 ,          0.25622 ,          0.17158 ,          0.21742 ,          0.21625 ,1.22352 ,2.61844 ,6.73663 ,1.23999 ,0.00068     ,0.00068     ,0.00068
   22 ,56175.4  ,  1.04303 ,  2.1763  ,  1.77095 ,  1.1972  ,                0.24269 ,             0.19621 ,            0.337   ,               0.24541 ,                0.24228 ,             0.19265 ,            0.31583 ,               0.21286 ,          0.18467 ,          0.24556 ,          0.25622 ,          0.17158 ,          0.21742 ,          0.21625 ,1.22352 ,2.61844 ,6.73663 ,1.23999 ,0.000614    ,0.000614    ,0.000614
   23 ,58340.4  ,  1.03725 ,  2.16499 ,  1.763   ,  1.19425 ,                0.24269 ,             0.19621 ,            0.337   ,               0.24541 ,                0.24228 ,             0.19265 ,            0.31583 ,               0.21286 ,          0.18467 ,          0.24556 ,          0.25622 ,          0.17158 ,          0.21742 ,          0.21625 ,1.22352 ,2.61844 ,6.73663 ,1.23999 ,0.000548    ,0.000548    ,0.000548
   24 ,60532.4  ,  1.02762 ,  2.14447 ,  1.7444  ,  1.18821 ,                0.24269 ,             0.19621 ,            0.337   ,               0.24541 ,                0.24228 ,             0.19265 ,            0.31583 ,               0.21286 ,          0.18467 ,          0.24556 ,          0.25622 ,          0.17158 ,          0.21742 ,          0.21625 ,1.22352 ,2.61844 ,6.73663 ,1.23999 ,0.000482    ,0.000482    ,0.000482
   25 ,62692    ,  1.02166 ,  2.13588 ,  1.73286 ,  1.1844  ,                0.24269 ,             0.19621 ,            0.337   ,               0.24541 ,                0.24228 ,             0.19265 ,            0.31583 ,               0.21286 ,          0.18467 ,          0.24556 ,          0.25622 ,          0.17158 ,          0.21742 ,          0.21625 ,1.22352 ,2.61844 ,6.73663 ,1.23999 ,0.000416    ,0.000416    ,0.000416
   26 ,66574.6  ,  1.01322 ,  2.11594 ,  1.71759 ,  1.17966 ,                0.22737 ,             0.20688 ,            0.34565 ,               0.25289 ,                0.23198 ,             0.19733 ,            0.32468 ,               0.21932 ,          0.1967  ,          0.25324 ,          0.26269 ,          0.1886  ,          0.22177 ,          0.22268 ,1.21131 ,2.6054  ,6.38364 ,1.22731 ,0.00035     ,0.00035     ,0.00035
   27 ,70475.3  ,  1.0015  ,  2.09087 ,  1.69612 ,  1.17373 ,                0.22194 ,             0.21655 ,            0.34518 ,               0.25314 ,                0.22881 ,             0.19741 ,            0.32665 ,               0.22004 ,          0.19521 ,          0.25246 ,          0.26417 ,          0.18535 ,          0.22183 ,          0.22469 ,1.20869 ,2.60209 ,6.30848 ,1.22383 ,0.000284    ,0.000284    ,0.000284
   28 ,74345.1  ,  0.98985 ,  2.06462 ,  1.67516 ,  1.16748 ,                0.21544 ,             0.21195 ,            0.3487  ,               0.2549  ,                0.22134 ,             0.19973 ,            0.32897 ,               0.22078 ,          0.20504 ,          0.25146 ,          0.26692 ,          0.18543 ,          0.2221  ,          0.22596 ,1.20781 ,2.6     ,6.27895 ,1.22151 ,0.000218    ,0.000218    ,0.000218
   29 ,78028.7  ,  0.98125 ,  2.04398 ,  1.65243 ,  1.16065 ,                0.21369 ,             0.20928 ,            0.34941 ,               0.25514 ,                0.23198 ,             0.19299 ,            0.32745 ,               0.22089 ,          0.19412 ,          0.25571 ,          0.26561 ,          0.17497 ,          0.22536 ,          0.2252  ,1.20751 ,2.59835 ,6.24736 ,1.22012 ,0.000152    ,0.000152    ,0.000152
   30 ,81887.9  ,  0.96859 ,  2.01699 ,  1.62769 ,  1.15346 ,                0.21604 ,             0.2054  ,            0.35211 ,               0.25661 ,                0.2153  ,             0.19737 ,            0.33034 ,               0.22266 ,          0.19022 ,          0.25858 ,          0.26681 ,          0.17105 ,          0.22941 ,          0.22595 ,1.20634 ,2.59974 ,6.28312 ,1.21708 ,8.6e-05     ,8.6e-05     ,8.6e-05
